Unnamed: 0,casenum,statenum,vehnum,day,month,year,landuse,age,vfatcount,numoccs,modelyr,cellphone_use
431,335,27,1,29,11,2016,1,15,1,2,2000,0
830,1130,12,1,20,2,2016,2,16,1,1,2006,0
1556,28,12,1,22,1,2016,1,28,1,1,2004,1
723,571,39,1,20,7,2016,1,22,1,1,2013,0
942,175,49,1,31,8,2015,2,67,0,1,2000,1
387,305,51,1,29,6,2016,1,80,1,1,2001,0
380,477,45,2,24,7,2015,2,38,0,1,2015,0
1269,438,34,2,3,8,2016,2,28,0,1,2014,1
1118,87,51,1,1,3,2016,2,61,0,1,2014,1
1235,1325,6,2,28,5,2015,2,45,0,1,2006,1
757,4,38,1,20,1,2016,1,43,1,1,2004,0
1197,695,47,1,14,9,2016,2,38,1,1,2016,1
1112,420,29,1,18,7,2016,1,52,1,1,2005,1
1215,202,48,1,29,1,2016,1,27,1,8,2003,1
1413,2479,48,1,19,10,2015,2,27,1,1,2012,1
1303,264,12,1,28,2,2015,1,21,1,1,2011,1
1014,52,55,1,25,2,2016,2,35,1,3,2006,1
1517,109,40,2,25,1,2015,2,30,0,1,2007,1
1121,805,29,1,25,11,2016,1,17,1,1,2005,1
1504,824,1,1,4,12,2016,1,16,1,1,2010,1
681,1401,48,3,8,6,2016,1,25,0,1,2008,0
1285,345,47,1,10,6,2015,2,45,0,1,2007,1
838,674,39,1,28,8,2016,1,50,1,3,2002,1
31,269,21,2,21,4,2016,1,56,0,1,2001,0
553,290,26,1,14,6,2015,2,21,0,2,2009,0
492,8,25,1,18,1,2015,1,18,1,3,2003,0
725,57,18,1,3,2,2016,2,31,1,3,2002,0
1649,378,47,1,26,6,2015,2,25,0,1,2005,1
1644,46,27,2,29,2,2016,1,20,0,1,2008,1
1182,620,17,1,27,8,2016,1,22,1,1,2010,1
1493,127,47,1,5,3,2016,2,27,1,2,2015,1
136,2089,6,1,9,11,2015,1,47,1,2,2015,0
1002,374,1,1,31,7,2015,1,23,0,1,2005,1
36,140,21,2,1,4,2016,1,29,0,2,1999,0
957,1374,48,1,16,6,2015,2,20,0,1,2001,1
595,481,29,2,7,8,2016,1,65,0,1,1999,0
101,1030,13,1,18,10,2015,1,30,1,4,2006,0
