"","casenum","statenum","vehnum","persontotal","agemin","agemax","numfatal","day","month","year","modelyear","make","cellphoneuse"
"1",3,1,1,2,20,31,1,1,1,2015,2008,20,0
"2",21,1,1,3,33,85,1,23,1,2015,2014,12,0
"3",27,1,1,1,69,69,1,17,1,2015,2014,41,0
"4",27,1,2,1,25,25,0,17,1,2015,2012,35,0
"5",30,1,1,4,21,50,4,24,1,2015,2014,20,0
"6",30,1,2,1,37,37,1,24,1,2015,2014,35,0
"7",34,1,2,3,50,79,1,15,1,2015,2008,20,0
"8",34,1,5,2,68,72,0,15,1,2015,2009,13,0
"9",34,1,6,1,63,63,0,15,1,2015,2008,20,0
"10",36,1,2,2,23,24,1,19,1,2015,2012,7,0
"11",48,1,1,4,16,24,2,24,1,2015,2013,35,0
"12",53,1,1,3,17,47,1,1,2,2015,2010,37,0
"13",67,1,3,3,1,35,0,11,2,2015,2013,55,0
"14",75,1,2,3,1,59,0,10,2,2015,2008,37,0
"15",79,1,1,2,31,32,1,7,3,2015,2014,20,0
"16",93,1,1,1,29,29,1,9,3,2015,2012,12,0
"17",93,1,2,1,29,29,1,9,3,2015,2014,49,0
"18",95,1,2,5,7,50,3,2,3,2015,2012,20,0
"19",95,1,7,2,41,44,0,2,3,2015,2014,36,0
"20",95,1,8,1,28,28,0,2,3,2015,2010,49,0
"21",105,1,1,2,29,39,1,6,3,2015,2012,55,0
"22",121,1,2,2,29,32,0,8,3,2015,2014,20,0
"23",123,1,2,2,73,76,1,16,3,2015,2012,49,0
"24",136,1,1,2,22,22,1,28,3,2015,2013,7,0
"25",139,1,2,2,0,29,0,3,4,2015,2008,20,0
"26",141,1,2,1,51,51,1,2,4,2015,2008,59,0
"27",141,1,3,1,53,53,0,2,4,2015,2012,12,0
"28",141,1,8,1,62,62,0,2,4,2015,2015,12,0
"29",141,1,9,6,3,73,0,2,4,2015,2015,6,0
"30",155,1,1,2,16,21,1,30,3,2015,2010,7,0
"31",161,1,1,1,27,27,0,30,3,2015,2010,49,0
"32",161,1,2,2,74,77,1,30,3,2015,2013,19,0
"33",170,1,1,2,19,66,1,8,4,2015,2008,7,0
"34",170,1,2,2,15,51,0,8,4,2015,2010,34,0
"35",180,1,2,1,48,48,0,18,4,2015,2014,7,0
"36",180,1,3,1,45,45,0,18,4,2015,2014,63,0
"37",182,1,1,1,53,53,0,19,4,2015,2012,49,0
"38",182,1,2,1,83,83,1,19,4,2015,2010,12,0
"39",190,1,1,4,10,44,1,8,4,2015,2015,54,0
"40",191,1,1,2,29,29,1,25,4,2015,2010,12,0
"41",195,1,2,2,69,92,2,22,4,2015,2015,12,0
"42",218,1,1,2,87,88,1,4,5,2015,2010,37,0
"43",219,1,1,2,4,30,2,4,5,2015,2008,6,0
"44",223,1,2,5,35,61,1,1,5,2015,2015,30,0
"45",230,1,1,2,24,26,1,24,5,2015,2014,49,0
"46",237,1,1,2,18,18,1,3,5,2015,2010,7,0
"47",241,1,1,2,80,83,1,11,5,2015,2008,41,0
"48",271,1,2,2,65,66,1,29,5,2015,2008,37,0
"49",284,1,2,4,17,18,0,28,5,2015,2008,12,0
"50",286,1,1,2,51,55,0,30,5,2015,2011,32,0
"51",286,1,4,1,53,53,1,30,5,2015,2015,35,0
"52",299,1,1,1,36,36,0,12,6,2015,2015,2,0
"53",299,1,2,1,81,81,1,12,6,2015,2014,49,0
"54",304,1,1,3,5,35,1,6,6,2015,2014,35,0
"55",304,1,2,1,51,51,0,6,6,2015,2013,20,0
"56",321,1,1,1,86,86,1,17,6,2015,2008,20,0
"57",321,1,2,2,60,62,0,17,6,2015,2012,20,0
"58",323,1,1,2,49,51,1,21,6,2015,2015,7,0
"59",329,1,1,1,22,22,1,26,6,2015,2008,52,0
"60",329,1,2,1,29,29,0,26,6,2015,2013,55,0
"61",342,1,1,1,80,80,1,3,7,2015,2012,20,0
"62",342,1,2,4,15,53,0,3,7,2015,2009,54,0
"63",343,1,6,4,7,45,0,2,7,2015,2008,12,0
"64",343,1,7,1,25,25,0,2,7,2015,2011,20,0
"65",348,1,1,3,12,47,3,7,6,2015,2008,20,0
"66",349,1,1,5,5,86,1,17,6,2015,2014,12,0
"67",356,1,1,1,27,27,1,5,7,2015,2009,22,0
"68",356,1,3,1,43,43,0,5,7,2015,2010,42,0
"69",365,1,1,2,10,39,0,29,7,2015,2012,63,0
"70",368,1,2,2,20,21,0,25,7,2015,2008,49,0
"71",380,1,1,2,32,43,1,1,7,2015,2011,55,0
"72",384,1,2,1,69,69,1,7,7,2015,2008,20,0
"73",384,1,3,5,7,37,0,7,7,2015,2012,49,0
"74",386,1,2,2,23,25,0,9,7,2015,2013,12,0
"75",391,1,1,1,64,64,1,11,7,2015,2015,20,0
"76",391,1,2,2,25,28,0,11,7,2015,2009,12,0
"77",407,1,1,2,37,64,1,19,7,2015,2013,7,0
"78",411,1,1,1,31,31,0,2,8,2015,2010,35,0
"79",411,1,2,3,73,75,1,2,8,2015,2008,23,0
"80",416,1,1,1,84,84,1,7,8,2015,2010,12,0
"81",416,1,2,1,35,35,0,7,8,2015,2011,49,0
"82",419,1,1,2,21,51,2,7,8,2015,2009,12,0
"83",434,1,1,2,41,44,1,13,8,2015,2012,20,0
"84",451,1,3,5,68,97,0,15,8,2015,2012,37,0
"85",460,1,2,2,65,70,1,18,8,2015,2012,20,0
"86",467,1,1,1,23,23,0,29,8,2015,2008,35,0
"87",467,1,2,2,28,39,1,29,8,2015,2009,55,0
"88",479,1,1,3,17,21,1,4,9,2015,2008,20,0
"89",484,1,2,2,5,31,1,28,8,2015,2011,2,0
"90",486,1,2,2,21,23,0,1,9,2015,2009,7,0
"91",495,1,1,3,2,29,1,16,8,2015,2009,49,0
"92",505,1,1,1,85,85,1,10,9,2015,2014,12,0
"93",505,1,2,1,35,35,0,10,9,2015,2013,37,0
"94",516,1,1,3,4,73,1,17,9,2015,2010,49,0
"95",519,1,1,2,40,66,2,3,7,2015,2008,12,0
"96",523,1,1,2,56,56,2,5,9,2015,2015,55,0
"97",552,1,1,2,26,33,0,26,9,2015,2008,7,0
"98",567,1,2,2,13,37,1,9,10,2015,2012,35,0
"99",580,1,2,2,0,25,1,20,10,2015,2008,37,0
"100",592,1,2,5,20,23,1,31,10,2015,2008,20,0
"101",594,1,1,2,51,83,1,2,11,2015,2015,12,0
"102",607,1,2,3,5,37,0,10,11,2015,2008,7,0
"103",625,1,1,2,43,44,1,1,11,2015,2011,20,0
"104",628,1,2,2,64,70,0,6,11,2015,2008,23,0
"105",648,1,1,2,33,37,1,28,11,2015,2015,7,0
"106",656,1,3,2,37,47,0,27,11,2015,2008,20,0
"107",687,1,1,2,16,18,1,17,12,2015,2013,55,0
"108",695,1,1,1,60,60,1,22,12,2015,2012,37,0
"109",695,1,2,1,26,26,0,22,12,2015,2010,12,0
"110",701,1,2,2,5,41,0,16,12,2015,2012,32,0
"111",722,1,2,2,67,68,0,24,10,2015,2009,18,0
"112",739,1,2,2,14,16,0,15,10,2015,2009,20,0
"113",751,1,1,7,2,28,2,22,11,2015,2014,6,0
"114",755,1,1,2,20,21,2,8,11,2015,2013,12,0
"115",759,1,1,2,19,20,1,22,11,2015,2011,7,0
"116",760,1,1,1,60,60,0,7,11,2015,2012,23,0
"117",760,1,2,5,59,84,2,7,11,2015,2008,12,0
"118",761,1,1,1,75,75,1,3,11,2015,2013,37,0
"119",761,1,2,1,19,19,0,3,11,2015,2014,35,0
"120",770,1,2,1,68,68,1,11,8,2015,2015,12,0
"121",770,1,3,1,43,43,0,11,8,2015,2009,7,0
"122",770,1,4,1,26,26,0,11,8,2015,2013,12,0
"123",781,1,1,3,18,23,1,12,12,2015,2008,35,0
"124",6,2,1,1,22,22,0,12,3,2015,2008,20,0
"125",6,2,3,1,43,43,0,12,3,2015,2013,20,0
"126",9,2,1,2,15,38,1,3,4,2015,2011,7,0
"127",9,2,3,2,21,25,1,3,4,2015,2013,55,0
"128",19,2,2,2,18,18,0,27,5,2015,2012,49,0
"129",27,2,2,4,3,33,0,3,7,2015,2009,20,0
"130",27,2,3,1,36,36,0,3,7,2015,2013,12,0
"131",28,2,2,3,29,44,0,3,7,2015,2010,48,0
"132",35,2,2,1,69,69,0,31,7,2015,2011,7,0
"133",35,2,3,1,61,61,0,31,7,2015,2009,7,0
"134",35,2,4,1,55,55,1,31,7,2015,2011,23,0
"135",35,2,5,1,44,44,0,31,7,2015,2015,69,0
"136",36,2,1,2,71,77,2,5,8,2015,2011,12,0
"137",42,2,1,3,50,74,0,21,9,2015,2009,12,0
"138",47,2,1,2,63,72,1,9,9,2015,2011,7,0
"139",2,4,1,3,29,51,0,1,1,2015,2014,63,0
"140",9,4,1,1,32,32,1,10,1,2015,2014,12,0
"141",9,4,2,2,20,53,0,10,1,2015,2015,48,0
"142",29,4,1,1,51,51,1,29,1,2015,2015,35,0
"143",29,4,2,1,62,62,1,29,1,2015,2011,49,0
"144",30,4,1,1,32,32,0,30,1,2015,2008,20,0
"145",30,4,2,7,34,62,3,30,1,2015,2014,20,0
"146",36,4,1,6,6,84,1,8,1,2015,2011,55,0
"147",36,4,2,1,34,34,0,8,1,2015,2008,35,0
"148",43,4,1,2,13,46,1,15,1,2015,2008,49,0
"149",43,4,2,1,23,23,0,15,1,2015,2013,30,0
"150",45,4,1,1,42,42,0,24,1,2015,2013,20,0
"151",45,4,2,2,80,85,1,24,1,2015,2011,49,0
"152",46,4,2,2,34,35,0,31,1,2015,2015,12,0
"153",46,4,3,2,56,63,0,31,1,2015,2014,2,0
"154",47,4,2,2,80,85,0,31,1,2015,2011,18,0
"155",52,4,2,2,64,68,0,24,1,2015,2014,20,0
"156",57,4,1,2,8,73,1,10,1,2015,2014,37,0
"157",58,4,1,1,88,88,1,11,1,2015,2011,49,0
"158",58,4,2,2,49,49,0,11,1,2015,2013,20,0
"159",78,4,2,3,27,35,0,15,2,2015,2015,41,0
"160",92,4,2,1,31,31,0,24,2,2015,2011,23,0
"161",92,4,3,1,66,66,0,24,2,2015,2011,20,0
"162",105,4,1,6,16,41,0,5,2,2015,2015,37,0
"163",105,4,2,2,34,35,2,5,2,2015,2013,58,0
"164",105,4,6,1,40,40,0,5,2,2015,2009,35,0
"165",110,4,1,4,21,47,1,8,2,2015,2010,7,0
"166",122,4,1,2,14,40,0,20,2,2015,2014,2,0
"167",130,4,2,2,71,74,0,1,3,2015,2011,51,0
"168",130,4,3,4,62,67,0,1,3,2015,2010,14,0
"169",133,4,1,6,18,84,0,3,3,2015,2009,49,0
"170",133,4,3,1,35,35,0,3,3,2015,2009,30,0
"171",138,4,1,4,7,73,1,5,3,2015,2008,37,0
"172",142,4,1,2,67,69,1,9,3,2015,2010,55,0
"173",144,4,1,2,22,22,0,11,3,2015,2010,20,0
"174",156,4,3,2,21,33,0,16,3,2015,2010,49,0
"175",161,4,2,2,20,20,0,17,3,2015,2015,67,0
"176",172,4,2,2,18,47,0,28,3,2015,2013,42,0
"177",197,4,1,2,41,52,1,6,3,2015,2014,55,0
"178",200,4,1,1,35,35,1,14,3,2015,2013,7,0
"179",200,4,2,1,24,24,0,14,3,2015,2009,12,0
"180",210,4,2,2,68,75,0,1,4,2015,2015,12,0
"181",215,4,1,2,67,70,1,3,4,2015,2011,20,0
"182",215,4,3,2,60,62,2,3,4,2015,2013,37,0
"183",219,4,1,2,20,24,1,5,4,2015,2010,35,0
"184",223,4,1,3,5,29,0,7,4,2015,2008,20,0
"185",249,4,1,2,82,82,1,16,4,2015,2015,6,0
"186",249,4,2,2,19,44,0,16,4,2015,2011,20,0
"187",268,4,1,2,72,80,1,23,4,2015,2015,35,0
"188",277,4,2,4,60,92,1,1,5,2015,2010,6,0
"189",284,4,1,2,37,40,0,11,5,2015,2012,63,0
"190",294,4,1,2,28,51,1,18,5,2015,2015,35,0
"191",294,4,2,4,16,44,0,18,5,2015,2013,20,0
"192",300,4,1,2,33,36,0,22,5,2015,2010,20,0
"193",300,4,2,3,17,51,1,22,5,2015,2011,6,0
"194",310,4,1,2,71,72,2,31,5,2015,2010,37,0
"195",340,4,1,1,46,46,1,15,5,2015,2008,35,0
"196",340,4,4,5,6,34,0,15,5,2015,2010,14,0
"197",364,4,2,3,29,66,3,7,6,2015,2015,49,0
"198",379,4,1,4,64,87,1,18,6,2015,2015,37,0
"199",398,4,1,4,5,37,0,1,6,2015,2014,37,0
"200",423,4,1,4,20,49,1,30,6,2015,2012,20,0
"201",424,4,2,2,56,70,2,28,5,2015,2008,6,0
"202",424,4,3,1,34,34,0,28,5,2015,2014,23,0
"203",427,4,3,2,39,53,0,3,7,2015,2013,12,0
"204",428,4,1,4,34,61,1,5,7,2015,2013,59,0
"205",429,4,2,2,63,79,0,5,7,2015,2011,2,0
"206",430,4,1,4,21,24,1,7,7,2015,2009,12,0
"207",433,4,1,2,77,86,1,9,7,2015,2009,18,0
"208",443,4,1,2,28,36,1,24,7,2015,2008,20,0
"209",446,4,1,4,24,27,0,26,7,2015,2014,12,0
"210",456,4,1,1,49,49,1,12,6,2015,2009,7,0
"211",456,4,2,3,15,40,0,12,6,2015,2015,6,0
"212",462,4,1,2,17,28,0,8,7,2015,2012,12,0
"213",463,4,3,5,3,69,0,10,7,2015,2012,2,0
"214",463,4,4,1,19,19,0,10,7,2015,2013,7,0
"215",467,4,2,2,18,43,1,25,7,2015,2010,49,0
"216",470,4,2,4,13,48,0,2,7,2015,2013,35,0
"217",472,4,1,3,22,26,1,4,7,2015,2010,2,0
"218",472,4,2,1,28,28,0,4,7,2015,2015,12,0
"219",488,4,2,4,27,41,0,29,7,2015,2011,20,0
"220",495,4,1,4,1,32,3,12,7,2015,2010,6,0
"221",495,4,3,5,14,49,0,12,7,2015,2013,12,0
"222",510,4,1,1,78,78,1,11,8,2015,2009,20,0
"223",510,4,2,1,18,18,0,11,8,2015,2008,20,0
"224",517,4,2,3,19,20,0,15,8,2015,2009,20,0
"225",525,4,1,2,14,17,1,21,8,2015,2010,35,0
"226",528,4,1,1,33,33,1,21,8,2015,2013,2,0
"227",528,4,2,1,21,21,0,21,8,2015,2014,18,0
"228",530,4,1,2,38,53,1,22,8,2015,2015,23,0
"229",540,4,1,4,22,26,2,10,8,2015,2015,2,0
"230",541,4,4,2,36,58,0,22,8,2015,2012,34,0
"231",542,4,2,2,6,41,1,1,8,2015,2013,37,0
"232",543,4,2,3,15,41,0,2,8,2015,2012,20,0
"233",551,4,1,3,25,56,3,13,8,2015,2010,35,0
"234",555,4,2,2,66,83,0,19,8,2015,2013,18,0
"235",555,4,3,4,12,35,0,19,8,2015,2014,63,0
"236",557,4,1,1,25,25,1,22,8,2015,2011,63,0
"237",557,4,2,1,23,23,0,22,8,2015,2013,20,0
"238",567,4,1,2,27,30,1,6,9,2015,2010,12,0
"239",569,4,3,2,14,37,0,7,9,2015,2012,2,0
"240",572,4,1,2,30,55,1,10,9,2015,2008,12,0
"241",601,4,1,2,8,42,1,9,9,2015,2011,63,0
"242",601,4,2,3,2,51,0,9,9,2015,2014,41,0
"243",612,4,1,3,20,32,0,26,9,2015,2012,35,0
"244",613,4,1,2,19,19,1,27,9,2015,2008,37,0
"245",623,4,2,2,52,54,0,3,10,2015,2010,6,0
"246",648,4,1,2,19,20,0,22,10,2015,2012,12,0
"247",650,4,1,2,68,68,1,24,10,2015,2009,35,0
"248",652,4,1,2,68,72,0,24,10,2015,2008,24,0
"249",673,4,1,6,17,19,1,3,11,2015,2013,20,0
"250",675,4,3,2,18,26,1,4,11,2015,2011,53,0
"251",676,4,1,1,64,64,1,6,11,2015,2012,12,0
"252",676,4,3,2,66,78,0,6,11,2015,2014,2,0
"253",677,4,1,2,90,92,0,7,11,2015,2015,49,0
"254",679,4,1,2,21,23,0,8,11,2015,2015,49,0
"255",679,4,3,1,20,20,0,8,11,2015,2011,12,0
"256",681,4,3,4,6,67,0,8,11,2015,2014,2,0
"257",682,4,1,2,23,30,1,10,11,2015,2014,37,0
"258",684,4,2,2,21,54,0,10,11,2015,2014,2,0
"259",688,4,3,1,28,28,0,14,11,2015,2016,12,0
"260",688,4,5,1,59,59,0,14,11,2015,2011,37,0
"261",688,4,6,1,24,24,0,14,11,2015,2013,55,0
"262",696,4,3,1,17,17,0,20,11,2015,2010,30,0
"263",696,4,5,1,40,40,0,20,11,2015,2010,49,0
"264",699,4,2,2,19,21,0,23,11,2015,2014,63,0
"265",700,4,1,6,18,27,2,24,11,2015,2009,19,0
"266",702,4,2,2,66,67,2,29,11,2015,2012,41,0
"267",708,4,3,1,46,46,0,26,10,2015,2010,37,0
"268",708,4,4,1,38,38,0,26,10,2015,2012,37,0
"269",729,4,1,3,8,43,1,15,11,2015,2016,35,0
"270",737,4,1,1,26,26,0,29,11,2015,2014,23,0
"271",737,4,2,2,16,52,1,29,11,2015,2015,69,0
"272",742,4,1,5,16,48,0,30,6,2015,2012,6,0
"273",761,4,3,2,28,38,0,6,12,2015,2013,37,0
"274",761,4,4,2,0,29,0,6,12,2015,2012,12,1
"275",761,4,5,2,34,35,0,6,12,2015,2015,49,0
"276",768,4,1,3,5,16,0,13,12,2015,2012,20,0
"277",778,4,2,3,15,48,0,28,12,2015,2013,20,0
"278",786,4,1,2,39,44,0,9,11,2015,2012,20,0
"279",824,4,1,1,42,42,0,19,12,2015,2013,23,0
"280",824,4,3,1,46,46,0,19,12,2015,2009,13,0
"281",824,4,6,1,63,63,0,19,12,2015,2012,59,0
"282",829,4,2,2,15,62,0,30,12,2015,2015,63,0
"283",831,4,3,2,69,70,0,26,12,2015,2012,55,0
"284",843,4,2,3,43,63,1,14,12,2015,2010,6,0
"285",4,5,1,1,20,20,0,5,1,2015,2008,41,0
"286",4,5,2,2,19,22,1,5,1,2015,2008,22,0
"287",32,5,1,5,23,52,1,31,1,2015,2015,20,0
"288",47,5,2,2,18,22,0,9,2,2015,2015,55,0
"289",57,5,2,4,14,40,0,14,2,2015,2010,7,0
"290",63,5,1,1,26,26,0,20,2,2015,2010,12,0
"291",63,5,2,2,54,58,1,20,2,2015,2009,20,0
"292",75,5,2,2,72,94,1,4,3,2015,2014,37,0
"293",81,5,1,2,51,51,0,9,3,2015,2009,20,0
"294",85,5,1,2,83,83,1,13,3,2015,2012,12,0
"295",96,5,3,3,46,49,0,21,3,2015,2014,49,0
"296",97,5,1,1,56,56,0,22,3,2015,2008,7,0
"297",97,5,2,3,70,72,1,22,3,2015,2012,35,0
"298",100,5,2,3,17,18,0,24,3,2015,2008,7,0
"299",132,5,1,4,3,30,3,18,4,2015,2008,20,0
"300",132,5,2,1,44,44,0,18,4,2015,2013,20,0
"301",136,5,2,2,20,41,0,25,4,2015,2011,20,0
"302",144,5,3,1,38,38,1,30,4,2015,2008,51,0
"303",144,5,4,1,33,33,0,30,4,2015,2014,12,0
"304",150,5,2,2,46,49,0,2,5,2015,2011,12,0
"305",153,5,2,1,18,18,0,3,5,2015,2012,2,0
"306",153,5,3,1,17,17,0,3,5,2015,2012,20,0
"307",162,5,2,2,4,63,1,18,5,2015,2012,20,0
"308",164,5,1,1,76,76,1,19,5,2015,2014,37,0
"309",164,5,2,1,54,54,0,19,5,2015,2014,49,0
"310",164,5,3,1,65,65,0,19,5,2015,2010,19,0
"311",175,5,1,2,34,48,1,28,5,2015,2009,7,0
"312",175,5,2,2,25,51,0,28,5,2015,2015,20,0
"313",177,5,1,2,13,36,0,29,5,2015,2011,12,0
"314",177,5,2,2,43,55,2,29,5,2015,2008,22,0
"315",188,5,1,4,20,29,0,8,6,2015,2015,20,0
"316",189,5,1,1,22,22,1,9,6,2015,2011,20,0
"317",189,5,2,2,62,88,0,9,6,2015,2012,18,0
"318",193,5,1,3,3,23,2,11,6,2015,2011,7,0
"319",198,5,2,1,51,51,0,12,6,2015,2012,12,0
"320",198,5,3,1,50,50,0,12,6,2015,2011,12,0
"321",199,5,1,1,57,57,1,13,6,2015,2008,6,0
"322",199,5,2,1,24,24,0,13,6,2015,2010,20,0
"323",203,5,1,2,65,65,0,14,6,2015,2010,19,0
"324",211,5,2,2,27,36,0,20,6,2015,2009,23,0
"325",216,5,1,1,86,86,1,25,6,2015,2011,20,0
"326",216,5,2,2,44,50,0,25,6,2015,2008,23,0
"327",218,5,2,4,15,18,0,25,6,2015,2008,20,0
"328",220,5,1,3,33,44,1,26,6,2015,2012,2,0
"329",234,5,2,2,40,48,0,10,7,2015,2012,20,0
"330",234,5,3,2,63,68,0,10,7,2015,2008,23,0
"331",249,5,1,1,55,55,0,17,7,2015,2011,35,0
"332",249,5,2,2,58,88,1,17,7,2015,2009,49,0
"333",251,5,1,5,26,75,0,18,7,2015,2015,23,0
"334",277,5,2,3,17,23,1,6,8,2015,2015,7,1
"335",285,5,1,1,66,66,1,13,8,2015,2013,23,0
"336",285,5,2,1,55,55,1,13,8,2015,2009,19,0
"337",290,5,2,4,10,43,0,16,8,2015,2008,23,0
"338",319,5,4,1,43,43,0,29,8,2015,2012,49,0
"339",319,5,5,2,19,21,0,29,8,2015,2014,20,0
"340",331,5,1,5,5,35,0,7,9,2015,2009,20,0
"341",331,5,2,1,55,55,1,7,9,2015,2010,55,0
"342",342,5,4,1,23,23,0,16,9,2015,2015,35,0
"343",342,5,5,1,56,56,0,16,9,2015,2015,12,0
"344",343,5,1,2,33,39,1,16,9,2015,2011,20,1
"345",345,5,1,2,11,54,1,17,9,2015,2009,7,0
"346",359,5,1,2,25,29,1,2,7,2015,2015,12,0
"347",361,5,1,2,19,19,1,4,10,2015,2009,20,0
"348",362,5,2,3,17,44,0,4,10,2015,2011,13,0
"349",372,5,2,1,51,51,0,9,10,2015,2013,23,0
"350",372,5,3,6,21,26,1,9,10,2015,2015,7,0
"351",377,5,1,2,80,81,2,13,10,2015,2011,12,0
"352",382,5,1,3,15,46,0,17,10,2015,2012,7,0
"353",383,5,2,2,46,72,0,18,10,2015,2013,41,0
"354",394,5,1,1,64,64,0,26,10,2015,2015,20,0
"355",394,5,2,1,78,78,1,26,10,2015,2015,35,0
"356",397,5,1,6,15,15,2,26,10,2015,2014,12,0
"357",404,5,1,4,15,20,4,31,10,2015,2012,2,0
"358",411,5,1,1,21,21,0,5,11,2015,2009,12,0
"359",411,5,2,2,58,60,1,5,11,2015,2012,49,0
"360",428,5,2,4,9,58,0,15,11,2015,2015,2,0
"361",430,5,1,4,2,24,0,16,11,2015,2008,20,0
"362",431,5,2,2,5,33,0,17,11,2015,2009,35,0
"363",431,5,3,1,24,24,1,17,11,2015,2015,18,0
"364",443,5,1,1,78,78,1,25,11,2015,2009,6,0
"365",443,5,3,1,30,30,0,25,11,2015,2011,35,0
"366",447,5,1,1,45,45,1,26,11,2015,2011,48,0
"367",447,5,2,2,30,31,0,26,11,2015,2013,35,0
"368",457,5,1,2,35,37,2,4,12,2015,2013,58,0
"369",467,5,1,2,18,27,1,13,12,2015,2011,20,0
"370",473,5,2,2,66,70,1,21,12,2015,2013,35,0
"371",474,5,4,1,21,21,0,21,12,2015,2012,23,0
"372",474,5,5,2,37,38,1,21,12,2015,2010,12,0
"373",475,5,1,2,39,42,0,21,12,2015,2011,20,0
"374",477,5,1,2,58,64,0,26,12,2015,2010,23,0
"375",497,5,1,1,51,51,0,20,9,2015,2008,14,0
"376",497,5,2,1,88,88,1,20,9,2015,2008,12,0
"377",501,5,1,1,21,21,0,29,10,2015,2010,35,0
"378",501,5,2,5,0,61,1,29,10,2015,2010,49,0
"379",503,5,2,2,3,62,1,13,11,2015,2009,6,0
"380",4,6,2,4,11,36,0,1,1,2015,2012,7,0
"381",7,6,2,2,51,52,0,2,1,2015,2008,12,0
"382",21,6,1,2,20,20,1,1,1,2015,2009,49,0
"383",22,6,1,4,20,21,1,11,1,2015,2009,35,0
"384",24,6,3,4,4,71,0,4,1,2015,2013,58,0
"385",26,6,2,1,46,46,0,5,1,2015,2013,37,0
"386",26,6,4,1,39,39,0,5,1,2015,2012,41,0
"387",39,6,1,2,31,39,0,6,1,2015,2013,20,0
"388",58,6,1,2,5,59,0,8,1,2015,2008,55,0
"389",70,6,1,3,2,24,0,16,1,2015,2009,41,0
"390",70,6,2,3,52,57,1,16,1,2015,2013,37,0
"391",72,6,1,7,20,54,1,18,1,2015,2012,37,0
"392",72,6,2,2,47,58,0,18,1,2015,2008,23,0
"393",94,6,1,2,31,47,1,21,1,2015,2008,20,0
"394",119,6,2,2,12,32,0,24,1,2015,2015,54,0
"395",130,6,1,2,44,50,2,25,1,2015,2008,42,0
"396",150,6,1,2,18,18,0,26,1,2015,2011,35,0
"397",150,6,2,1,23,23,0,26,1,2015,2011,34,0
"398",156,6,1,2,23,27,1,26,1,2015,2015,30,0
"399",175,6,2,2,2,37,0,1,2,2015,2012,41,0
"400",196,6,2,2,15,51,0,7,2,2015,2013,13,0
"401",200,6,1,2,24,24,1,7,2,2015,2014,67,0
"402",223,6,1,2,13,32,1,4,2,2015,2010,49,0
"403",223,6,2,4,17,59,0,4,2,2015,2009,35,0
"404",258,6,1,1,64,64,1,3,2,2015,2009,12,0
"405",258,6,2,2,24,24,0,3,2,2015,2014,30,0
"406",262,6,2,3,1,43,0,7,2,2015,2011,34,0
"407",263,6,1,1,76,76,0,4,2,2015,2010,59,0
"408",263,6,2,1,40,40,1,4,2,2015,2009,55,0
"409",263,6,4,1,46,46,0,4,2,2015,2015,63,0
"410",271,6,1,3,5,26,0,17,2,2015,2012,41,0
"411",273,6,1,3,1,21,0,6,2,2015,2010,63,0
"412",290,6,4,2,28,28,0,15,2,2015,2010,51,0
"413",301,6,1,2,24,32,0,20,2,2015,2011,55,0
"414",310,6,1,1,66,66,0,16,2,2015,2013,55,0
"415",310,6,2,2,20,21,0,16,2,2015,2014,35,0
"416",316,6,3,2,24,41,0,22,2,2015,2014,37,0
"417",317,6,1,2,20,22,1,16,2,2015,2013,63,0
"418",334,6,1,1,24,24,0,16,2,2015,2008,12,0
"419",334,6,2,4,47,52,1,16,2,2015,2010,49,0
"420",334,6,3,1,61,61,0,16,2,2015,2013,59,0
"421",342,6,1,2,26,29,1,23,2,2015,2008,20,0
"422",344,6,1,4,19,22,2,27,2,2015,2009,37,0
"423",359,6,2,1,59,59,1,15,2,2015,2011,49,0
"424",359,6,3,3,29,63,0,15,2,2015,2009,49,0
"425",373,6,1,2,23,24,1,7,3,2015,2009,48,0
"426",377,6,2,2,41,48,0,27,2,2015,2014,63,0
"427",379,6,1,3,21,27,1,13,2,2015,2012,37,0
"428",402,6,1,2,54,55,1,11,3,2015,2014,6,0
"429",417,6,1,1,27,27,0,11,3,2015,2014,7,0
"430",417,6,2,1,46,46,1,11,3,2015,2013,37,0
"431",425,6,1,2,69,71,0,7,3,2015,2011,13,0
"432",452,6,2,5,11,40,0,13,3,2015,2011,37,0
"433",453,6,1,3,2,53,0,3,3,2015,2008,37,0
"434",460,6,2,1,29,29,0,7,2,2015,2010,49,0
"435",460,6,3,1,65,65,0,7,2,2015,2013,19,0
"436",478,6,1,1,22,22,0,17,3,2015,2010,41,0
"437",478,6,2,1,28,28,0,17,3,2015,2010,49,0
"438",481,6,2,1,32,32,1,18,3,2015,2008,37,0
"439",481,6,7,1,57,57,0,18,3,2015,2009,49,0
"440",484,6,1,1,78,78,1,19,3,2015,2013,13,0
"441",484,6,2,1,27,27,0,19,3,2015,2010,35,0
"442",493,6,3,4,0,50,0,19,3,2015,2013,30,0
"443",495,6,1,8,7,44,0,13,3,2015,2015,30,0
"444",509,6,2,2,61,65,0,14,3,2015,2009,49,0
"445",511,6,1,3,28,53,0,22,3,2015,2010,49,0
"446",512,6,3,5,50,73,0,14,3,2015,2015,37,0
"447",512,6,4,4,0,37,0,14,3,2015,2013,49,0
"448",512,6,5,4,1,41,0,14,3,2015,2012,37,0
"449",512,6,7,4,15,41,0,14,3,2015,2014,7,0
